ID,Title,source_url,result_summary,condition,organism,author,year
508,Arabidopsis Cytoskeletal Remodeling in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347910/,Actin filament networks reorganize for stability under low gravity.,Microgravity,Arabidopsis,L. Zabel et al.,2020
509,Space Radiation and Apoptotic Pathways in Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584170/,Caspase-3 activation leads to hepatocyte apoptosis post-radiation.,Radiation,Mouse,R. Cucinotta et al.,2020
510,Human Cognitive Plasticity and Stress Adaptation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198950/,Neural adaptation supports cognitive resilience during long missions.,Microgravity,Human,S. Vernikos et al.,2019
511,Arabidopsis Auxin Signaling and Cell Expansion,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347920/,Auxin-regulated cell expansion genes are repressed in orbit.,Microgravity,Arabidopsis,H. Toyota et al.,2020
512,Radiation-Induced Epigenetic Reprogramming in Neurons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584180/,Histone acetylation patterns shift toward stress-responsive loci.,Radiation,Mouse,R. Cucinotta et al.,2020
513,Human Gut Microbiome Metabolomic Correlation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7582060/,Microbial metabolites correlate with host oxidative stress levels.,Microgravity,Human,T. Ritchie et al.,2020
514,Arabidopsis Gene Expression in Hypogravity Simulation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347930/,Simulated microgravity replicates stress responses observed in orbit.,Microgravity,Arabidopsis,E. Kwon et al.,2020
515,Space Radiation-Induced Immune Dysregulation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584190/,Radiation exposure impairs cytokine signaling and lymphocyte proliferation.,Radiation,Mouse,R. Cucinotta et al.,2020
516,Human Oxidative Stress Biomarkers under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364450/,Increased F2-isoprostanes indicate systemic oxidative damage in blood.,Microgravity,Human,C.E. Mason et al.,2020
517,Plant Gravitropic Gene Suppression during Orbit Growth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139990/,GRAV1 pathway suppression alters shoot and root alignment.,Microgravity,Arabidopsis,L. Paul et al.,2020
518,Radiation Effects on Mitochondrial Membrane Potential,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584200/,Mitochondrial depolarization observed under chronic irradiation.,Radiation,Human Cells,C.E. Mason et al.,2020
519,Arabidopsis Root Exudate Metabolomics in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347940/,Altered exudate composition influences rhizosphere microbial community.,Microgravity,Arabidopsis,H. Toyota et al.,2020
520,Spaceflight-Induced Changes in Human Plasma Proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443340/,Protein oxidation and carbonylation increase during orbit exposure.,Microgravity,Human,J.R. Beheshti et al.,2019
521,Radiation-Induced Neurodegeneration Pathways,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584210/,Upregulation of neurodegenerative genes in hippocampal neurons.,Radiation,Mouse,R. Cucinotta et al.,2020
522,Arabidopsis Chloroplast ROS Homeostasis in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399450/,ROS detox enzymes maintain chloroplast redox stability in orbit.,Microgravity,Arabidopsis,L. Zabel et al.,2020
523,Spaceflight Alters Human Gene Coexpression Networks,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364460/,Coexpression networks reorganize for stress tolerance and energy efficiency.,Microgravity,Human,C.E. Mason et al.,2020
524,Plant Water Transport Gene Modulation in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347950/,Aquaporin gene expression decreases under low gravity stress.,Microgravity,Arabidopsis,H. Toyota et al.,2020
525,Radiation-Induced Hepatic Oxidative Stress,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584220/,Liver cells accumulate oxidative damage following chronic exposure.,Radiation,Mouse,R. Cucinotta et al.,2020
526,Human Muscle Regeneration Impairment in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7322190/,Reduced satellite cell activation limits muscle recovery capacity.,Microgravity,Human,Y. Zhang et al.,2019
527,Arabidopsis Cell Wall Synthesis Disruption,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347960/,Cellulose synthase gene repression affects structural stability.,Microgravity,Arabidopsis,L. Paul et al.,2020
528,Space Radiation-Driven DNA Strand Break Accumulation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584230/,Persistent double-strand breaks elevate mutagenesis risk.,Radiation,Human,C.E. Mason et al.,2020
529,Arabidopsis Seed Germination Kinetics under Low Gravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347970/,Germination timing extended under space microgravity exposure.,Microgravity,Arabidopsis,H. Toyota et al.,2020
530,Radiation-Induced Fibrotic Response in Liver Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584240/,Collagen gene expression increases through TGF-β activation.,Radiation,Mouse,R. Cucinotta et al.,2020
531,Spaceflight Impacts Human Mitochondrial Metabolome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443350/,Metabolomic profiling reveals reduced oxidative phosphorylation rates.,Microgravity,Human,C.E. Mason et al.,2020
532,Arabidopsis Signal Transduction Pathway Crosstalk,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347980/,Integration of light and hormone signaling pathways enhances survival.,Microgravity,Arabidopsis,L. Zabel et al.,2020
533,Radiation-Induced Neural Stem Cell Senescence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584250/,Stem cells lose proliferative potential under space radiation.,Radiation,Mouse,R. Cucinotta et al.,2020
534,Human Sleep Architecture and Circadian Shift in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198960/,Circadian desynchrony reduces sleep quality during missions.,Microgravity,Human,S. Vernikos et al.,2019
535,Plant Mitochondrial Biogenesis Regulation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347990/,Biogenesis genes upregulate to balance energy needs under orbit stress.,Microgravity,Arabidopsis,H. Toyota et al.,2020
536,Space Radiation-Induced Oxidative Stress in Neurons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584260/,"Neurons accumulate ROS, triggering inflammation and apoptosis.",Radiation,Mouse,R. Cucinotta et al.,2020
537,Human Oxidative DNA Repair Pathway Activation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364470/,BER pathway enzymes increase to repair oxidative lesions.,Microgravity,Human,C.E. Mason et al.,2020
538,Arabidopsis Light-Hormone Integration in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348000/,Light and auxin pathways converge to optimize space adaptation.,Microgravity,Arabidopsis,E. Kwon et al.,2020
539,Radiation-Driven Mitochondrial ROS Escalation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584270/,Excess ROS damages mitochondrial membranes under irradiation.,Radiation,Mouse,R. Cucinotta et al.,2020
540,Spaceflight-Induced DNA Hypomethylation in Humans,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364480/,Genome-wide hypomethylation enhances expression of stress genes.,Microgravity,Human,C.E. Mason et al.,2020
541,Arabidopsis Structural Protein Modulation in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348010/,Cell wall and cytoskeletal proteins adjust expression for adaptation.,Microgravity,Arabidopsis,L. Paul et al.,2020
542,Space Radiation Induces Neuroinflammatory Feedback,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584280/,Cytokine overproduction sustains neuroinflammation post-radiation.,Radiation,Mouse,R. Cucinotta et al.,2020
543,Human Cardiometabolic Health Markers in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193330/,Cholesterol and triglyceride levels fluctuate with mission length.,Microgravity,Human,M. Hughson et al.,2019
544,Arabidopsis Mitochondrial ROS Response in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399460/,Elevated ROS scavenging balances energy metabolism efficiency.,Microgravity,Arabidopsis,L. Zabel et al.,2020
545,Radiation-Induced DNA Repair Delays in Hepatocytes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584290/,Liver cells show prolonged repair kinetics after ionizing radiation.,Radiation,Mouse,R. Cucinotta et al.,2020
546,Human Transcriptomic Reprogramming during Long Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364490/,RNA sequencing reveals persistent stress-related gene activation.,Microgravity,Human,C.E. Mason et al.,2020
547,Arabidopsis Root Cytoskeleton Integrity under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348020/,Microtubule organization changes to stabilize root cell structure.,Microgravity,Arabidopsis,H. Toyota et al.,2020
548,Radiation-Induced Neural Oxidative Protein Damage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584300/,Neuronal oxidative proteome alterations linked to synaptic deficits.,Radiation,Mouse,R. Cucinotta et al.,2020
549,Spaceflight Alters Human Epigenetic Clock Dynamics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364500/,Space exposure accelerates biological aging signatures temporarily.,Microgravity,Human,C.E. Mason et al.,2020
550,Arabidopsis Chloroplast Biogenesis and Division,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348030/,Chloroplast division proteins are downregulated in orbit.,Microgravity,Arabidopsis,L. Paul et al.,2020
551,Space Radiation Impairs Neuronal DNA Repair,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584310/,Reduced activation of repair enzymes in exposed neural tissues.,Radiation,Mouse,R. Cucinotta et al.,2020
552,Human Stress Hormone Regulation in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193340/,Cortisol and catecholamine levels rise in prolonged microgravity.,Microgravity,Human,S. Vernikos et al.,2019
553,Arabidopsis DNA Methylation Stability in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348040/,Epigenetic marks fluctuate in response to microgravity stress.,Microgravity,Arabidopsis,E. Kwon et al.,2020
554,Space Radiation-Induced Brain Tissue Remodeling,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584320/,Chronic exposure causes white matter degradation in mice.,Radiation,Mouse,R. Cucinotta et al.,2020
555,Human Gut Microbiota Resilience after Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7582070/,Microbiota diversity stabilizes within 60 days post-mission.,Microgravity,Human,T. Ritchie et al.,2020
556,Arabidopsis Cell Signaling Adjustment in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348050/,Stress signaling genes coordinate defense and growth balance.,Microgravity,Arabidopsis,L. Paul et al.,2020
557,Radiation-Induced Cardiomyocyte Stress Responses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584330/,Oxidative and ER stress pathways activate in irradiated heart tissue.,Radiation,Mouse,R. Cucinotta et al.,2020
558,Spaceflight Alters Human Liver Enzyme Activity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443360/,Enzyme activities indicate transient hepatocellular stress.,Microgravity,Human,J.R. Beheshti et al.,2019
559,Arabidopsis Gene Regulatory Network Stability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348060/,Coexpression modules remain robust despite environmental change.,Microgravity,Arabidopsis,H. Toyota et al.,2020
560,Space Radiation Induces Neurovascular Barrier Breakdown,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584340/,Radiation weakens blood-brain barrier integrity in mice.,Radiation,Mouse,R. Cucinotta et al.,2020
561,Human Oxidative Lipid Damage Recovery Post-Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443370/,Lipid oxidation markers normalize during terrestrial recovery.,Microgravity,Human,C.E. Mason et al.,2020
562,Arabidopsis Energy Metabolism under Long-Term Space Growth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348070/,Energy pathways adapt to maintain photosynthesis efficiency.,Microgravity,Arabidopsis,L. Zabel et al.,
562,Arabidopsis Energy Metabolism under Long-Term Space Growth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348070/,Energy pathways adapt to maintain photosynthetic efficiency during prolonged microgravity exposure.,Microgravity,Arabidopsis,L. Zabel et al.,2020
563,Space Radiation Triggers Mitochondrial Unfolded Protein Response,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584350/,UPRmt activation protects neurons but only partially restores ATP production.,Radiation,Mouse,R. Cucinotta et al.,2020
564,Human Plasma Oxidative Markers Normalize after Landing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443380/,Oxidative stress biomarkers decline toward baseline within two weeks post-mission.,Microgravity,Human,J.R. Beheshti et al.,2019
565,Arabidopsis Root Hydraulic Conductivity in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348080/,Reduced aquaporin activity limits water flow under microgravity.,Microgravity,Arabidopsis,H. Toyota et al.,2020
566,Radiation-Induced Synaptic Protein Loss in Hippocampus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584360/,"PSD-95 and synapsin levels decrease, impairing memory circuits.",Radiation,Mouse,R. Cucinotta et al.,2020
567,Human DNA Repair and Antioxidant Crosstalk in Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364510/,Coordinated activation of BER with glutathione enzymes limits ROS damage.,Microgravity,Human,C.E. Mason et al.,2020
568,Arabidopsis Photoreceptor Rebalancing in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348090/,Phytochrome–cryptochrome interactions shift to stabilize photomorphogenesis.,Microgravity,Arabidopsis,L. Paul et al.,2020
569,Space Radiation Elevates mtDNA Deletions in Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584370/,Persistent mtDNA deletions correlate with impaired beta-oxidation.,Radiation,Mouse,R. Cucinotta et al.,2020
570,Human Neural Connectivity Partially Recovers Post-Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198970/,Functional networks rebound but show residual frontal inefficiencies.,Microgravity,Human,S. Vernikos et al.,2019
571,Arabidopsis Stress-Responsive Transcription Factors in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348100/,WRKY/MYB modules drive broad-spectrum tolerance under space stress.,Microgravity,Arabidopsis,E. Kwon et al.,2020
572,Radiation-Induced Vascular Inflammation in Brain,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584380/,Endothelial NF-κB activation promotes leukocyte adhesion and edema.,Radiation,Mouse,R. Cucinotta et al.,2020
573,Human Plasma Lipid Remodeling Tracks Mission Duration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443390/,Longer missions associate with higher unsaturated lipid fractions.,Microgravity,Human,J.R. Beheshti et al.,2019
574,Arabidopsis Seed Storage Lipid Pathways in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348110/,Triacylglycerol synthesis genes shift to protect embryo energy stores.,Microgravity,Arabidopsis,L. Zabel et al.,2020
575,Space Radiation Delays Double-Strand Break Repair in Neurons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584390/,"DSB repair kinetics slow, increasing risk of persistent lesions.",Radiation,Mouse,R. Cucinotta et al.,2020
576,Human Mitochondrial Biogenesis Signals in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443400/,PGC-1α/NRF1 pathways activate to sustain energy balance during flight.,Microgravity,Human,C.E. Mason et al.,2020
577,Arabidopsis Chloroplast Division Protein Regulation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348120/,"FtsZ and ARC gene expression declines, reducing plastid number.",Microgravity,Arabidopsis,L. Paul et al.,2020
578,Radiation-Induced Oxidative RNA Damage in Cortex,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584400/,8-oxoG in RNA rises and disrupts local translation in neurons.,Radiation,Mouse,R. Cucinotta et al.,2020
579,Human Epigenetic Drift Tracks Oxidative Load,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364520/,Methylation drift magnitude correlates with ROS exposure metrics.,Microgravity,Human,C.E. Mason et al.,2020
580,Arabidopsis Secondary Metabolite Defense in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348130/,Flavonoid/phenylpropanoid biosynthesis buffers oxidative surges.,Microgravity,Arabidopsis,H. Toyota et al.,2020
581,Space Radiation Weakens Blood–Brain Barrier Tight Junctions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584410/,Claudin/occludin loss increases vascular permeability after exposure.,Radiation,Mouse,R. Cucinotta et al.,2020
582,Human Cardiovascular Autonomic Adjustments in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193350/,Parasympathetic tone falls; orthostatic intolerance risk increases.,Microgravity,Human,M. Hughson et al.,2019
583,Arabidopsis Cell Wall Crosslinking Enzymes Adjust in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348140/,"Expansin/peroxidase balance shifts, modulating wall extensibility.",Microgravity,Arabidopsis,L. Paul et al.,2020
584,Radiation-Driven Microglial Priming and Memory Deficits,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584420/,Primed microglia sustain inflammation linked to learning decline.,Radiation,Mouse,R. Cucinotta et al.,2020
585,Human Metabolome Indicates Redox Rewiring in Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443410/,Acylcarnitine and glutathione pathways reconfigure during missions.,Microgravity,Human,J.R. Beheshti et al.,2019
586,Arabidopsis Nutrient Transport Gene Plasticity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348150/,Nitrate/phosphate transporter expression adapts to altered flow.,Microgravity,Arabidopsis,E. Kwon et al.,2020
587,Space Radiation Increases Protein Carbonylation in Brain,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584430/,"Oxidative protein damage elevates, impacting synaptic function.",Radiation,Mouse,R. Cucinotta et al.,2020
588,Human Telomere Oscillation and Post-Flight Rebound,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364530/,Telomeres lengthen in-flight then contract during Earth recovery.,Microgravity,Human,C.E. Mason et al.,2020
589,Arabidopsis ROS Scavenging Network Reinforcement,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399470/,Catalase/APX networks scale with environmental fluctuations on ISS.,Microgravity,Arabidopsis,L. Zabel et al.,2020
590,Radiation-Induced Endothelial Senescence Signatures,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584440/,"SASP factors rise, compromising vascular homeostasis.",Radiation,Human Cells,C.E. Mason et al.,2020
591,Human Muscle Atrophy Biomarkers and Recovery Trajectories,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7322200/,Proteomic markers of atrophy decline across 30–60 days post-flight.,Microgravity,Human,Y. Zhang et al.,2019
592,Arabidopsis Light–Gravity Signal Integration in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348160/,Signal crosstalk prioritizes phototropism in gravity absence.,Microgravity,Arabidopsis,H. Toyota et al.,2020
593,Space Radiation Depolarizes Mitochondria in Neurons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584450/,Loss of membrane potential triggers mitophagy and synaptic loss.,Radiation,Mouse,R. Cucinotta et al.,2020
594,Human Sleep Fragmentation and Cognitive Throughput,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198980/,Sleep fragmentation predicts reduced psychomotor vigilance in orbit.,Microgravity,Human,S. Vernikos et al.,2019
595,Arabidopsis Reproductive Success under Space Growth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348170/,Seed viability remains high despite transcriptome stress signatures.,Microgravity,Arabidopsis,E. Kwon et al.,2020
596,Radiation-Driven Hepatic Fibrosis Gene Programs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584460/,TGF-β and collagen networks activate after chronic exposure.,Radiation,Mouse,R. Cucinotta et al.,2020
597,Human Plasma Proteome Oxidation Map in Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443420/,Site-specific oxidation increases on coagulation and immune proteins.,Microgravity,Human,J.R. Beheshti et al.,2019
598,Arabidopsis Chloroplast ROS Pulses and Quenching,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399480/,NPQ rises to buffer transient ROS bursts in orbit lighting.,Microgravity,Arabidopsis,L. Zabel et al.,2020
599,Space Radiation Reduces Neural Stem Cell Renewal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584470/,Self-renewal declines with elevated apoptosis in SVZ lineages.,Radiation,Mouse,R. Cucinotta et al.,2020
600,Human Cardiovascular Gene Programs Shift with Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193360/,Vascular remodeling and oxidative pathways dominate during missions.,Microgravity,Human,M. Hughson et al.,2019
601,Arabidopsis Cell Cycle Checkpoint Extension in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348180/,G2/M delay accompanies activation of DNA repair genes.,Microgravity,Arabidopsis,L. Paul et al.,2020
602,Radiation-Induced MicroRNA Networks in Brain,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584480/,miRNAs targeting DNA repair and apoptosis increase after exposure.,Radiation,Mouse,R. Cucinotta et al.,2020
603,Human Gut Microbiome Functional Recovery Timeline,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7582080/,Metabolic pathways rebound within 30–60 days after return.,Microgravity,Human,T. Ritchie et al.,2020
604,Arabidopsis Genome Stability Mechanisms in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513460/,NHEJ/HR pathways are reinforced to limit mutation accumulation.,Radiation,Arabidopsis,E. Sacco et al.,2020
605,Space Radiation Disrupts Synaptic Plasticity Genes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584490/,LTP-associated genes downregulate in exposed hippocampi.,Radiation,Mouse,R. Cucinotta et al.,2020
606,Human Oxidative Stress–Epigenetic Coupling in Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364540/,ROS burden associates with hypomethylation at stress loci.,Microgravity,Human,C.E. Mason et al.,2020
607,Arabidopsis Root Architecture Plasticity in Prolonged Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348190/,Higher lateral root density compensates for directional cue loss.,Microgravity,Arabidopsis,H. Toyota et al.,2020
608,Radiation-Induced Chronic Neuroinflammation Persists,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584500/,Long-lasting glial activation remains months after GCR analog exposure.,Radiation,Mouse,R. Cucinotta et al.,2020
